text,hashtags,conclusi,percent
"Kok yg ngurus negara pada jadi dungu² tolol gitu ya...
Karena ga sejalan dgn @jokowi di bilang radikal 

#ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, ",POSITIVE,80.62297105789185
"RT @CakKhum: ""Sekelas BIN percaya penelitian ini, penelitian ini enggak laku kalau di Universitas Sumatera Utara, di buang di tong sampah,""…",,POSITIVE,78.97812128067017
"RT @CakKhum: ""Sekelas BIN percaya penelitian ini, penelitian ini enggak laku kalau di Universitas Sumatera Utara, di buang di tong sampah,""…",,POSITIVE,78.97812128067017
"RT @RajaPurwa: Guntur Romli dah ngoceh dari A ampe Z,  ehhh ditutup ama @karniilyas , orang yang tidak mampu menjelaskan dengan bahasa sede…",,POSITIVE,64.42682147026062
"RT @cintapribumi: Yg bikin study masjid terpampang radikalisme adalah orang yg cacat nalar,  dungu..
Ini bukan kerjaan intelektual.. 
Jelas…",,POSITIVE,67.92752146720886
Mending pulang pak. Drpd di bully teruz. #ILCMasjidTerpaparRadikal,"ILCMasjidTerpaparRadikal, ",POSITIVE,75.92266798019409
"RT @Futbool_Fotos: Gennaro Gattuso sorprendió el día de ayer a Anna, una abuelita de 100 años que ha apoyado al AC Milán en las buenas (15…",,POSITIVE,71.52454853057861
"Penjelasan Bang Eggi Top Markotop! 
#ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, ",POSITIVE,75.79905986785889
Jadwal Juventus Vs Valencia di Liga Champions 2018 https://t.co/wsx6nauaKY via @YouTube,,POSITIVE,75.82318782806396
"RT @Maulana_Tigor: Gak bosan mendengar paparan dari Ust @ustadtengkuzul .
Apalagi statement terakhir,Jangan pilih Caleg yg pelihara Anjing.…",,POSITIVE,80.30621409416199
"RT @cintapribumi: Yg bikin study masjid terpampang radikalisme adalah orang yg cacat nalar,  dungu..
Ini bukan kerjaan intelektual.. 
Jelas…",,POSITIVE,67.92752146720886
"Indonesia di bndingin suriah
..ide dongok.",,POSITIVE,75.46234130859375
"RT @RajaPurwa: Calon anggota DPR yang ditembak @ustadtengkuzul :-)

#ILCMasjidTerpaparRadikal https://t.co/h9NdaPcwAx","ILCMasjidTerpaparRadikal, ",POSITIVE,76.3609230518341
"RT @ILCtv1: #ILCMasjidTerpaparRadikal | 2 HARI LAGI, vote skrg! #PGA2018 @PGAwards @karniilyas https://t.co/XIEhKvHVqU","ILCMasjidTerpaparRadikal, PGA2018, ",POSITIVE,75.33678412437439
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
"RT @iLham_Droiders: Tidak setuju pemimpin non-muslim, apapun alasannya sekalipun kita ikut dalil Quran dan Sunnah, dicap Radikal sama P3M
L…",,POSITIVE,77.56072282791138
"#ILCMasjidTerpaparRadikal
Stop radikalisme didalam masjid dan ujaran kebencian","ILCMasjidTerpaparRadikal, ",POSITIVE,76.02308988571167
RT @Hendrik_smd: Gamlang bicaranya pak JK #ILCMasjidTerpaparRadikal https://t.co/iPqhewCUKF,"ILCMasjidTerpaparRadikal, ",POSITIVE,75.79905986785889
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
@kanghakeem Top ya?.. 😁 #ILCMasjidTerpaparRadikal,"ILCMasjidTerpaparRadikal, ",POSITIVE,75.45115351676941
"RT @febrii_r: “don’t put religion onto politics!”, they said? #ILCMasjidTerpaparRadikal https://t.co/UUKJvrXxo6","ILCMasjidTerpaparRadikal, ",POSITIVE,75.47559142112732
Beberapa gambar yang sudah dibuat netizen menanggapi tagar #MataNajwaPSSIBisaApa https://t.co/XswQ8cCPsw,"MataNajwaPSSIBisaApa, ",POSITIVE,76.25259160995483
"RT @JH_talk_2_U: Dari zaman bung Karno sampai era pak SBY tidak pernah ada tudingan Mesjid Terpapar Radikal.
Hanya Era rezim Jkw ini ada st…",,POSITIVE,76.20335221290588
RT @Uyiq2: @MbahUyok pak JK sdh clear. kesimpulan radikal radikul itu gk jelas dn berbahaya. wes buyar! sudahi saja #ILCMasjidTerpaparRadik…,,POSITIVE,73.20220470428467
Bella Hadid Looked Like an Actual Princess in Kuala Lumpur https://t.co/RwQMgS5kDE,,POSITIVE,76.63319110870361
"Ngaurisme 
#ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, ",POSITIVE,75.79905986785889
"RT @CakKhum: ""Sekelas BIN percaya penelitian ini, penelitian ini enggak laku kalau di Universitas Sumatera Utara, di buang di tong sampah,""…",,POSITIVE,78.97812128067017
"RT @Maulana_Tigor: Gak bosan mendengar paparan dari Ust @ustadtengkuzul .
Apalagi statement terakhir,Jangan pilih Caleg yg pelihara Anjing.…",,POSITIVE,80.30621409416199
SEPAKAT USTADZ @ustadtengkuzul,,POSITIVE,75.79905986785889
"RT @JH_talk_2_U: #ILCMasjidTerpaparRadikal 
Setelah ngoceh gak karuan, dia bilang solusinya “ jalani Islam yang rahmatan lil alamin” . Tapi…","ILCMasjidTerpaparRadikal, ",POSITIVE,79.54069375991821
RT @el_nonymous: Radio pagi ini: Kemendikbud akan menghidupkan kembali pelajaran Pendidikan Moral Pancasila untuk mencegah paham radikalism…,,POSITIVE,76.34289860725403
"RT @MbahUyok: Itu LP3M yg jd sumber Badan Ngintel kita untuk menyebut Masjid Radikal.?
Alakazaaam... Ngasih penjelasan aja aa au gitu...
#I…",,POSITIVE,81.8871021270752
RT @kyallenz: Stop degrading other women just because you want to give one your praise. Don’t ever compliment a woman by insulting another…,,POSITIVE,76.81742310523987
".....
Pada bagian terakhir, Menpar Arief Yahya memaparkan tentang ""Customer-Centric Organization"". #CEOMessageMenpar59","CEOMessageMenpar59, ",POSITIVE,75.79905986785889
"........
""Generasi ini selalu berorientasi pada masa depan, maka berikanlah masa depan itu pada saat ini,"" ujar Men… https://t.co/IzHM95gVkS",,POSITIVE,75.79905986785889
"RT @CakKhum: ""Sekelas BIN percaya penelitian ini, penelitian ini enggak laku kalau di Universitas Sumatera Utara, di buang di tong sampah,""…",,POSITIVE,78.97812128067017
RT @ILCtv1: #ILCMasjidTerpaparRadikal | MALAM INI Pkl 20.00 WIB tvOne [Wawancara eksklusif @Pak_JK ] | Selamat menyaksikan! @karniilyas htt…,"ILCMasjidTerpaparRadikal, ",POSITIVE,74.64757561683655
"RT @RajaPurwa: Guntur Romli dah ngoceh dari A ampe Z,  ehhh ditutup ama @karniilyas , orang yang tidak mampu menjelaskan dengan bahasa sede…",,POSITIVE,64.42682147026062
RT @Nashryna: Bella freakin’ Hadid said she loves my hair guys im cryignsjfjsjdjfh 😭😭😭 @bellahadid https://t.co/rzEIReGcAD,,POSITIVE,76.89773440361023
"RT @BorjaInzaRNE: Qué manía de decir ""pinganillo"" cuando es auricular.
Qué manía de decir ""juega con pierna"" cuando es LA pierna.
Qué manía…",,POSITIVE,71.53708934783936
"RT @Surgabidadari3: Tanggapan Ustadz Tengku Zulkarnaen soal Pemahaman Radikal yg Keliru.
. 
🇦​🇳​🇦​🇰​ 🇲​🇮​🇱​🇪​🇳​🇮​🇦​🇱​ PILIH 
#️⃣​🇵​🇷​🇦​🇧​🇴​…",,POSITIVE,75.50795674324036
"RT @CakKhum: ""Ustadz² yang di tuduh Radikal ini adalah ustadz² yg tidak setuju dengan rezim yang sedang berkuasa ini, coba kalau besok saya…",,POSITIVE,79.79249954223633
"RT @imam_nahrawi: Mbak @najwashihab saya izin ikut upload ya. Semoga bisa jadi hasil baik untuk kemajuan sepakbola Indonesia. 

#MataNajwaP…",,POSITIVE,78.02862524986267
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
"Sebelum Islam berjaya rosul udh kasih peringatan, ya yang waras cukup maklumin, tunggu hari pembalasan tiba #ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, ",POSITIVE,71.85301780700684
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
RT @aisssar: I know bella hadid lives on the same earth but i cannot believe that shes in kl its not realistic,,POSITIVE,79.38691973686218
"RT @krekenegg: Masalahnya, Pak Edy tidak sehebat Van Damme 😂😂

@MataNajwa 
#MataNajwaPSSIBisaApa https://t.co/FauyX83pMN","MataNajwaPSSIBisaApa, ",POSITIVE,75.79905986785889
"RT @Surgabidadari3: Tanggapan Ustadz Tengku Zulkarnaen soal Pemahaman Radikal yg Keliru.
. 
🇦​🇳​🇦​🇰​ 🇲​🇮​🇱​🇪​🇳​🇮​🇦​🇱​ PILIH 
#️⃣​🇵​🇷​🇦​🇧​🇴​…",,POSITIVE,75.50795674324036
"RT @dikaamfa: Ketuanya sangat bersemangat seperti ini...
#MataNajwaPSSIBisaApa https://t.co/cw3OU7aKpq","MataNajwaPSSIBisaApa, ",POSITIVE,75.79905986785889
"RT @MasPresidenBaru: Kenapa mrk tdk sekalipun menyebut para CINA GARONG super KAKAP:
- Eddy Tansil
- BLBI
- Century
- RSSW
- BusTransJkt
-…",,POSITIVE,75.15590190887451
Pendidikan Moral Pancasila,,POSITIVE,75.79905986785889
"RT @Surgabidadari3: Tanggapan Ustadz Tengku Zulkarnaen soal Pemahaman Radikal yg Keliru.
. 
🇦​🇳​🇦​🇰​ 🇲​🇮​🇱​🇪​🇳​🇮​🇦​🇱​ PILIH 
#️⃣​🇵​🇷​🇦​🇧​🇴​…",,POSITIVE,75.50795674324036
"RT @madxvxntx: Sobre a garota que mostrou os peitos no baile. 

Tove Lo 
Júlia Peixoto 
Rihanna 
Bella Hadid 
Rita Ora
ENTRE OUTRAS.

Que m…",,POSITIVE,75.50441026687622
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
"RT @CakKhum: ""Ustadz² yang di tuduh Radikal ini adalah ustadz² yg tidak setuju dengan rezim yang sedang berkuasa ini, coba kalau besok saya…",,POSITIVE,79.79249954223633
"RT @CakKhum: ""Sekelas BIN percaya penelitian ini, penelitian ini enggak laku kalau di Universitas Sumatera Utara, di buang di tong sampah,""…",,POSITIVE,78.97812128067017
"RT @RajaPurwa: Guntur Romli dah ngoceh dari A ampe Z,  ehhh ditutup ama @karniilyas , orang yang tidak mampu menjelaskan dengan bahasa sede…",,POSITIVE,64.42682147026062
RT @MafiaWasit: @MataNajwa bisa ikut #MataNajwaPSSIBisaApa ga Na @NajwaShihab https://t.co/kbSHSFjBZh,"MataNajwaPSSIBisaApa, ",POSITIVE,75.80949068069458
"Saya radikal.
Radikalis Romantis. 
Masalah?
#ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, ",POSITIVE,75.79905986785889
"naaaahhh... tercerahkan!!
orang bijak itu santai, ga pake emosi, singkat, jelas ga pake teks 😉",,POSITIVE,72.05146551132202
RT @ILCtv1: #ILCMasjidTerpaparRadikal | UAS | https://t.co/I9lUM2gnzK,"ILCMasjidTerpaparRadikal, ",POSITIVE,75.79905986785889
"@indrindru Kasian emang mbak, andaikan aja BIN ga ngutip study nya, ga bakal kyk gitu nasib si bapak. #ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, ",POSITIVE,86.99861168861389
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
RT @kyallenz: Stop degrading other women just because you want to give one your praise. Don’t ever compliment a woman by insulting another…,,POSITIVE,76.81742310523987
"RT @M_Ys_Plg: Seberapa radikal elooo...??
Gue sholat jum'at. 
Terus gue rekam khotbah jum'at. 
Bukan buat belajar. 
Tapi buat nentuin level…",,POSITIVE,79.50513362884521
"RT @CakKhum: ""Ustadz² yang di tuduh Radikal ini adalah ustadz² yg tidak setuju dengan rezim yang sedang berkuasa ini, coba kalau besok saya…",,POSITIVE,79.79249954223633
"@ILCtv1 @psi_id @GunRomli @karniilyas Masih bingung?
https://t.co/RdqHy3aj6O",,POSITIVE,74.04395937919617
Kapan nih eggi nyusul ahmad dhani? Kan sesama tukang ngawur jangan saling mendahului #ilcmasjidterpaparradikal,"ilcmasjidterpaparradikal, ",POSITIVE,76.79505348205566
RT @rotikaya: Sedap nampak Bella Hadid makan nasi lemak 😁 https://t.co/ojbHNKkDmS,,POSITIVE,75.7264792919159
"RT @refty_fachri: Mntap ustd tengku zul.. *Adil itu dari bhs Arab, Islam lah yg membawa keadilan di Indonesia.. Alhamdulillah nambah ilmu😊❤…",,POSITIVE,79.48826551437378
"RT @infosuporter: Mbak Najuwa kami ikutan
#MataNajwaPSSIBisaApa ya.
@MataNajwa https://t.co/RoH69SeEnX","MataNajwaPSSIBisaApa, ",POSITIVE,75.11647343635559
RT @bellahnews: Bella Hadid via Instagram Stories. https://t.co/SvRM6C02dd,,POSITIVE,75.82318782806396
"RT @RajaPurwa: Guntur Romli dah ngoceh dari A ampe Z,  ehhh ditutup ama @karniilyas , orang yang tidak mampu menjelaskan dengan bahasa sede…",,POSITIVE,64.42682147026062
"RT @Maulana_Tigor: Gak bosan mendengar paparan dari Ust @ustadtengkuzul .
Apalagi statement terakhir,Jangan pilih Caleg yg pelihara Anjing.…",,POSITIVE,80.30621409416199
"RT @Rusydi_riau: ll👉 Yuk Kita Vote Teman2

Dear Pencinta ILC : Diskusi ILC Selasa, pkl 20.00 Malam Ini Berjudul, ""Benarkah 41 Masjid Terpap…",,POSITIVE,75.73789954185486
"RT @MarkoFirmansyah: Caleg partai gurem lagi ngomong.
Buruk muka cermin dibelah.

Lho bukannya ente @GunRomli si buruk muka itu?

#ILCMasji…",,POSITIVE,79.61257100105286
"RT @RajaPurwa: Calon anggota DPR yang ditembak @ustadtengkuzul :-)

#ILCMasjidTerpaparRadikal https://t.co/h9NdaPcwAx","ILCMasjidTerpaparRadikal, ",POSITIVE,76.3609230518341
"RT @MasPresidenBaru: Kenapa mrk tdk sekalipun menyebut para CINA GARONG super KAKAP:
- Eddy Tansil
- BLBI
- Century
- RSSW
- BusTransJkt
-…",,POSITIVE,75.15590190887451
"RT @DogelKarya82: Guntur Romli mencoba menggiring Opini Tragedi Suriah akan di bawa ke Indonesia. Ada kesamaan pola yang terjadi, Mengganti…",,POSITIVE,75.9828507900238
"RT @Ricky_Hf: Melas bgt wajah pak Agus di rujak om Egi🙈😁
#ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, ",POSITIVE,75.07729530334473
